Name of NGO,Cause,Address
Abhivruddi Society For Social Development,Health & Family Welfare,"ABHIVRUDDI Society For Social Development, 3rd Main, Near Shantiketana School, Siddarameshwara Extn., Kathsandra Post, Tumkur - 572 104"
Abhivrudhi Foundation,Children,"Abhivrudhi Foundation ,D.No.2-152,Chilpar Hosue,Jogiyadka,Amarapadnoor village,Sullia,South Kannada, Dist- Mangalore"
Abilashrayam Trust,Children,No 373 2nd cross muniswamappa layout opp to kodigehalli railway stationBengaluru - 560092
Abu Amvs And Social Welfare Trust,Health & Family Welfare,M.A.KHATIB NURANI NAGAR BEHIND I.B OLD CHANDAKAVATE ROAD SINDAGI
Accept Society,Children,"ACCEPT, No: 245, KRC Road, Next to Visthar, Dodda Gubbi P O,Bengaluru, Karnataka, Pin code - 562 149"
Accomplish India,Children,"Accomplish India, 4, 324/62, Bellary Main Road, Ganganagar, Near CBI Office.,Bengaluru â€“ 560032"
Achiv Seva Samthe,Vocational Training,PLOT NO 135.. NGO COLONY JEWAEGI ROAD GULBURGH-585102
Action Initiative For Development Aid,Labour & Employment,"Gowripura. Kyasenahalli post,Jagalur Taluk, Davanagere district, Karnataka."
Adarsha,Children,"ADARSHA( Agency for Development Awakening and Rural Self Help Associations), Pinto Complex, Iruvail Road, P.O. Box No.22, Moodbidri- 574227, Mangalore"
Adarsha Mahila Khadhi Gramodyoga Sangha,Children,MAIN BAZAR 3RD WARD NO-4516 HUNUGUND DIST BAGALKOT KARNATAKA
Adarsha Samaja Karya Samste,Children,"ADARSHA SAMAJA KARYA SAMSTE (R), DOOR NO. 1107, C-6 CROSS, SHIVAKUMARASWAMY NAGARA 2ND STAGE, DAVANAGERE"
Adarsh Environment Protection And Rural Development Foundation,Vocational Training,"Near Head Post old Syndicate Bank Building Ramdurg-591123, Tq:Ramdurg Dist:Belgaum"
Adarsh Foundation,Women's Development & Empowerment,NEAR HEAD POST OFFICE R G NAYAK BUILDING RAMDURG-591123 DIST:-BELGAUM
Adhiti Welfare Services Society,Health & Family Welfare,"PLOT NO 48,RS NO 154/1, BALAJI NAGAR, GADAG-582101"
Afchaa,Drinking Water,"dr s s kulkarni, afchaa, home no 28, srinagar 4 th cross, ravindranagar,unkal ,hubli-28, karnataka,580031"
Aids Jagruthi Mahila Sangha,Health & Family Welfare,"AIDS JAGTRUTHI MAHILA SANGHA, Plot No.22&25, Apeksha Building, Maruthi Colony, Athani Road Vijaypur- 586101"
Aiwc Mysore,Children,ALL INDIA WOMEN S CONFERENCE MYSORE ZONE IMA BUIDING SAYYAJI RAO ROAD
Akkamahadevi Kala Sahitya Mattu Sanskrutik Sangh,Dalit Upliftment,Ankali Road Post Sankeshwar Tal HUkkeri Dist Belgaum pin 591313
Akka Nagamma Mahila Mandal,Children,"Akka Nagamma Mahila Mandal, C/o Sangamma V Patil, Door No: 18-3-108, Sangameshwar Colony, Chidri Road, Bidar - 585403"
Akka Nagamma Mahila Mandal Chidri,Children,"Akka Nagamma Mahila Mandal, Chidri, Door No. 18-3-108, Sangameshwar Colony, Chidri Road, Bidar - 585403"
Akshara Foundation,Children,"AKSHARA FOUNDATION, No.633/634, 4th â€œCâ€ Main, 6th Cross, OBMR Layout, Banaswadi, ,Bengaluru â€“ 560043"
Aksharam Charitable Ffoundation,Women's Development & Empowerment,"3305 RANGASHREE , 10TH MAIN,4TH BLOCK , JAYANAGAR"
Al Farooq Education Society,Children,"Al-Farooq Education Society, Behind Tahsil Office, Aland - 585302, Dist. Gulbarga"
Al Fathima Alpasankhyata Mahila Kalyan Abhivruddi Samsthe,Children,"Al Fathima Alpasankhyata Mahila Kalyan Abhivruddi Samsthe, No. 34, Nehru Road, Jagalur"
Al Furqan Educational And Welfare Society,Children,"Mehboob b Mulla, Darussalam Kakayya Colony, Gyang Bowdi Bijapur 586101, Karnataka.India"
All India Childrens Welfare Foundation,Children,"15/1 , Appajappa Agrahara , 3rd main , Chamarajapet,Bengaluru-560018"
Almighty Chariritable Trust,Children,"No,9 6th Cross V.R Naidu Nagar , Swathanthra NagarBengaluru-560021"
Al Rahat Women And Child Welfare Development Assn,Women's Development & Empowerment,"ASAR GALLI, NEAR ROSHAN GATE, , BIJAPUR 586 101"
Alt Training College Foundation,Vocational Training,ALT TRAINING COLLEGE FOUNDATION Kaikondanahalli Sarjapur Road near Bellandur Gate Carmelaram postBengaluru 560035
Al Yameen Educational Charitable Trust,Children,"Door No. 6/1, Old Street, Ashok Nagar,Bengaluru - 560025"
Amareshwar Graminbhivruddhi Shiksan Kalyan Samsthe,Vocational Training,GIRISH KANAVI SECRETARY AGSK SOCIETY LAXMI NIVAS PRAGATI NAGAR KINNAL ROAD KOPPAL
Amareshwar Public Library Gulbarga,Children,"H.No. 2-850, Sedam Road , Opposit to MRMC, Gulbarga-585105"
Ambedkaryuvasene,Dalit Upliftment,"Post Box No. 7977, Dr. B.R.Ambedkar Stadium, Basaveshwaranagara Main Road, Agraharadasarahalli,Bengaluru - 560 079"
Am Foundation,Health & Family Welfare,"13, Gandhinagar, Kaggalipura, Kanakapura Main Road"
Amicabes Ngo,Drinking Water,AMICABES NGO H NO 17-4-159 SHIVAGANGA NILAYA AGRICLTURE COLONY OPP SHIVKUMAR SWAMY GUMPPA MANHALLI ROAD BIDAR 585403
Ammanni Charitable Trust,Rural Development & Poverty Alleviation,"No.284, 34th cross, 9th Main Road, 4th Block, Jayanagar,Bengaluru 560011"
Ammanni Charitable Trust,Women's Development & Empowerment,"No.284, 34th Cross, 9th Main Road, 4th Block, Jayanagar,Bengaluru 560011"
Amrutrhavahini Public And Charitable Trust,Health & Family Welfare,"No 6/1, 6th cross(left), magadi road,Bengaluru-560023"
Anannaya Samagra Abhivriddhi Samsthe,Women's Development & Empowerment,"Uma G Tippanagoudar C/o Dr m M Patil behind geleyar balaga High school Ashwininagar 3rd cross Haveri 581110, Karnataka"
Ananta Education Society,Children,"XIBMS, 906 , 9th Floor, B-Wing,], Mittal Towers, M.G. Road, 560001"
Anant Viswa Seva Trust,Children,H.No 1362 2nd main 1st cross sadashiv nagar Belgaum
Ananyakalaniketana,Vocational Training,"3/49-1 kalashree, 3rd main new kempegowda layout bsk 3rd stage kathriguppe,Bengaluru, KARNATAKA 560085, India"
Anyuta Trust,Health & Family Welfare,"Dr.N. Ravindra shetty65.Lavelle road, 4th Cross,Bengaluru 560001"
Apj Kalam Bal Bhavan,Children,"A.P.J.Kalam Bal Bhavan, Sira Taluk, Tumkur District, Karnataka - 572137"
Arabhavi Integrated Development Society Arabhavi,Rural Development & Poverty Alleviation,"Arabhavi Integrated Development Society (Arids), Arabhavi., Gokak-Taluk , India-591306"
Arha Arogya Healthcare Associates,Health & Family Welfare,No 101 70th Cross 5th block Rajajinagar
Ar Social Welfare Development Trust,Health & Family Welfare,275/3c Ibrahim Sabeh Stree Rashad Nagar Arabic College PostBengaluru-560045
Arundhati Educational Trust,Dalit Upliftment,"No.638, 2nd Block, 3rd Stage, Basaveshwaranagar, Near Pushpanjali Theatre,Bengaluru - 560079."
Arunodaya,Rural Development & Poverty Alleviation,ARUNODAYA H.NO.10-55 NEAR POLICE STATION BAGDAL 585260 TQ&DIST BIDAR
Arunodaya Education Association,Children,"SULTHANIPURA, , NERLIGE POST, , Davanagere TALUK, , Davanagere DISTRICT"
Arunodaya Gramina Abhirudhi Sanga,Rural Development & Poverty Alleviation,"G. ANOJIRAO FOUNDER PRESIDENT , DR.B.R AMBEDKAR NAGAR , GANGAVATHI-583227, DIST KOPPAL"
Arunodaya Integrated Community Development Society R Banglaore,Rural Development & Poverty Alleviation,"ARUNODAYA INTEGRATED COMMUNITY DEVELOPMENT SOCIETY REGBengaluru, NO. 1/1 1ST FLOOR 1ST CROSS MARENAHALLI VIJAYANAGARABengaluru 560040"
ArunodyaintegratedcommunitydevelopmentsocietyBengaluru,Drinking Water,"ARUNODAYA INTEGRATED COMMUNITY DEVELOPMENT SOCIETY (R)Bengaluru, NO 1/1, 1ST MAIN, MARENAHALLI VIJAYANAGARABengaluru-560040"
Asare,Children,"ASARE , PLAOT147 VIDYANAGAR, MSK MILL GULBARGA"
Ashadeepa Angavikalara Sarva Abhirwuddhi Seva Samsthe Ilkal,Children,"Ashadeepa Angavikalara Sarva Abhirwuddhi Seva Samsthe Ilkal-587125 , Ward No, 4 Shivaji Nagar , Tq:Hungund Dt: Bagalkot"
Asha Kirana Samaja Seva Sangha,Women's Development & Empowerment,"mig 2/10,opp viyani vidyalaya,netaji nagar, housing board colony,bellary"
Ashakiran Buddimandya Hagu Angavikal Makkal Palakara Sangh,Children,"Ashakiran Buddimandya Hagu Angavikal Makkal Palakara Sangh, Devalapur Road, C/o Karmal Vidya Vikas Kendra Compound, Bailhongal, 590048"
Asha Mahila Mandali,Children,"Asha Mahila Mandali, 15B, Ateil Nagara, Bellary, Bellary (District)"
Ashika,Children,"Ashika, No-1 Monkey Stand New Road, Mangaladevi, Mangalore 575001"
Ashraya,Children,"Ashraya, No 8 Bloomfield Garden Bus Stop, Ramachandrapura Main Road, Vidyaranyapura"
Ashwini Priyadarshini Rural Development Social Educational And Health Organisation Karnataka,Children,"ASHWINI PRIYADARSHINI RUARL DEVELOPMENT SOCIAL EDUCATIONAL AND HEALTH ORGANISATION KARNATAKA, shri Ramakrishna Nursing Home Building Behind PWD quator"
Association For Community And Rural Education For Social Action And Transformation,Micro Finance (SHGs),"Association for community and rural education for social action and transformation, Thittamaranahalli, Channapatna,Bengaluru Rural, Karnataka 571501"
Association For Promoting Social Action Apsa,Children,"Association for Promoting Social Action, Nammane, No 34 Annasandrapalya, Vimanapura PostBengaluru 560 017"
Association For Social Health In India Karnataka,Children,"Association For Social Health In India ,Abhayashrama,4th Cross,Wilson Garden,Bengaluru-560027,Karnataka"
Associationof Women E Ntrepreneurs Ofka Rnataka,Urban Development & Poverty Alleviation,"B-76,KSSIDC Industrial Estate,Ra jajiNagar Banga lore"
As We Trust,Women's Development & Empowerment,"No.1444, Subodha, Ist Main Road, Nagappa Block,Bengaluru - 21"
Award Assosiation Of Women Agriculture And Rural Development,Children,AWARD BEHIND SHANKA MAT 2ND STREET RAGVENDRA EXTN MADHUGIRI TUMKUR DISTRICT 572132
Ayathi Trust,Children,10B SOBHA EMERALD JAKKUR YELAHANKA
Babu Jagajeevan Ram Harijana Girijana Vidya Samsthe,Children,"1ST CROSS, DEVI NAGAR, BELLARY"
Bapuji Vidya Samsthe Gajendragad,Health & Family Welfare,"Bapuji Vidya Samsthe Gadag Road, Gajendragad-582114, , Gadag Dist, Karnataka State"
Basaveshwaraintegratedruraldevelopmentsociety,Women's Development & Empowerment,Birds co Dhaward suresh KEB Jayamma Veerabhadranilaya Sharada saw mill Behind Batawadi Tumkur 572 103
Basileia Charitable Trust,Children,"NO:171/1, 2ND CROSS, BEHIND A.N VESSELS , RAMAMURTHY NAGAR MAIN ROAD .Bengaluru"
Belaku Charitable Society,Health & Family Welfare,"21/1,2nd cross,R.V.Shetty lay-out, Sheshadri puramBengaluru 560020."
Bengaluru Baptist Hospital Society,Health & Family Welfare,"Bengaluru Baptist Hospital , Bellary Road, Hebbal"
Best Foundation,Rural Development & Poverty Alleviation,"CORPORATE OFFICE:, BEST FOUNDATION (R), C/O. ANAND P. SADARJOSHI, YASH COMPUTERS, KAVALAPETH, SAUNDATTI, DIST. BELGAUM"
Best Foundation,Children,"BEST Foundation, Rajendra nagara,behind shobha nursing home, plot number 115,solapur road,vijayapur-586103"
Bhagyajyothi Mahila Mandali,Children,"SULTHANIPURA, , NERLIGE POST, , Davanagere TALUK, , Davanagere DISTRICT, PIN-577556"
Bhagyashri Mahila Mandal,Rural Development & Poverty Alleviation,Kacheri Road Jamkhandi 587301 Bagalkot Karnataka
Bhagyashri Mahila Mandal,Rural Development & Poverty Alleviation,Kacheri Road Jamkhandi 587301
Bhagyodayaruralandwomendevelopmentsociety,Health & Family Welfare,"BHAGYODAYA RURAL & WOMEN DEVELOPMENT SOCIETY, CHAIRMAN & SECRETARY, PETH AMMAPUR, TQ : SHORAPUR, DIST : GULBARGA"
Bharathfoundation,Women's Development & Empowerment,"7-2-167, Rangrez Galli, Bidar - 585401"
Bharath Gyan Vigyan Samithi,Children,"Bharath gyan vigyan samithi, C/o Electrochemical society of India, Indian Institute of Science campus, Bengaluru-560012"
Bharati Vidya Vardhaka Sangh Bijapur,Health & Family Welfare,"BHARATI VIDYA VARDHAK SANGH (R) BIJAPUR., C/O V V KULKARNI, UMARAMESHWARA BUILDING, NAVARASPUR COLONY, OPP. NEW COURT COMPLEX, BAGALKOT ROAD, BIJAUR-5"
Bharatiya Smaj Seva Sansthe,Health & Family Welfare,bharatiya samaj seva sansthe register (R)c/o shivasharmappa bhairamadgi bldg Hno 3-504 laxmi temple nr udaya printing press gazipur gulbayga pin 58510
Bharat Jana Seva Society,Rural Development & Poverty Alleviation,"Bharat Jana Seva Society, At:Post-Marihal, Dist:Belgaum , Pin-591167, Cell:9986717750"
Bhashantara Samshodane Matu Tarabethi SamstheBengaluru,Vocational Training,"Venkatesh R Sakre, Translation Organisation, No 2818, 1 Floor, 12 Main, 1 Cross, Near Mariyappana Palya Kuvempu Road Metro Station, 2nd Stage, D Block"
Bhavani Education Society,Vocational Training,"bhavani education society(R), shukrawar peth,joshi galli,9th ward,dharwad-580 001"
Bheema Urban And Rural Development Organization,Health & Family Welfare,"Bheema urban and rural development organization, At post Ingalgi, Tq Chitapur , Dist Gulbrga, Pin code 585225"
Bhoruka Charitable Trust,Children,"No. 39/1, Chandrashekar Nivasa, 2nd Floor, Sannidhi Road, Opp. Corporation hospital, Basavangudi,Bengaluru- 560 004"
Bhudda Rural Education And Development Services Trust,Rural Development & Poverty Alleviation,"C/o Jnana BHarathi Convent, Vidya Nagara Near Ganapathi Temple Karekallahalli Gauribidanur town Chikkabalapur dist pin-561208"
Bijapur District Physically Handicapped Welfare Association,Rural Development & Poverty Alleviation,KHED GROUP OF INSTITUTES Mathapati Galli Bijapur 586101
Bindu Samsthe,Children,"BINDU SAMSTHE, C/O. JAYANAND S. MADAR, PRABHA NAGAR, SHINGALAPUR, GOKAK- 591218"
Biocon Foundation,Children,"Biocon Foundation, 20th KM, Hosur Road, , Electronic City, ,Bengaluru - 560100"
B M Patil Adnur Rural Development Foundation,Rural Development & Poverty Alleviation,"C S PATIL, B M PATIL adnur RURAL DEVELOPMENT FOUNDATION, 683,45TH CROSS,3RD BLOCK,RAJAJINAGAR,Bengaluru-560 010."
Bobby,Vocational Training,"perfect Association, Ground Floor, Parvathi Krupa, 1st Main, 4th Cross, M.C.C. B Block, Davanagere-577 004"
Bosco,Children,"BOSCO Yuvodaya, No 91, B Street,6th Cross, Gandhinagar,Bengaluru 560009"
Brahmashree Narayana Guruswamy Prakashana And Charitable Trust,Health & Family Welfare,"BRAHMASHREE NARAYANA GURUSWAMY PRAKASHANA AND CHARITABLE TRUST (R), Admin.Office:Vijaya Bank Building, 1st Floor,Bejai,Mangalore-575004"
Bressc Charitable Trust,Micro Small & Medium Enterprises,Earanna C Panchkatti Plot No 239 CIB Colony Gulbarga 585103
Buddhist Pali Education And Research Trust,Children,"Buddhist Pali Education and Research Trust (R), Iramma Nivas, , S. R. Nagar, Dharwad. 580002"
Canara Salesian Agro Ed Society,Children,"Don Bosco Centre , Kelmbet, Bolakodi P.O. Via Mundkur, Karkala Tq. Karnataka 576 121"
Cauvery Mahila Credit Co Operative Society Ltd,Women's Development & Empowerment,no35/1 BRAES campus vibhuthipura(keelukote) antharagange road kolar- -563101
Cauvery Rural Development Society,Rural Development & Poverty Alleviation,"Cauvery campus, 23rd ward,Bagepalli Town, Bagepalli Taluk,ChikkaballapurDistrict, Karnataka"
Ccc Shanthi Nilaya Community Health Care Centre,Health & Family Welfare,"CCC Shanti Nilaya Community Health Care Centre, , T.C.Palaya, K.R.Puram, ,Bengaluru, , Karnataka - 560 036"
Centre For Internet And Society,Children,"D-2, 3rd Floor, Shariff Chambers, 14 Cunningham Road,Bengaluru - 560052"
Centre For Population Dynamics,Children,"The Centre for Population Dynamics , No. 312, Cauvery Block A4, , National Games Complex , Koramangala,Bengaluru 560047"
Centre For Ruraul Development,Rural Development & Poverty Alleviation,"CENTRE FOR RURAL DEVELOPMENT, PARVATHINAGAR,NEAR TVS SHOW ROOM, 2ND MAIN 3RD LINK ROAD., BELLARY"
Centre For Urban And Rural Development,Children,"Center for Urban and Rural Development, 181, canara bank colony, Nagarabhavi main Road,Bengaluru-560072"
Chaitanya Education And Welfare Society,Children,"Caitanya Education & welfare Society, Near Bannikatti, Gadag Road, Koppal - 583231"
Chaitanya Ministries,Children,"Chaitanya Ministries, Gypsy Home, Near DCC Bank, Alkunte Nagar"
Chaitanya Rural Development Soceity Raichur Ngo,Rural Development & Poverty Alleviation,"at post merched vai yaramaras, tq & dist raichur, , 584134"
Chaitanya Vividhodheshagala Seva Samsthe,Children,"CHAITANYA VIVIDHODHESHAGALA SEVA SAMSTHE, GUDIGARGALLI, ANKOLA,"
Chaitra Grameena Abhivruddi Seva Sansthe,Rural Development & Poverty Alleviation,chaitra grameena abhivruddi seva sansthe at post ramadurga tq ramadurga dt belgaum
Chandrashekar Azad Youths Association,Children,"ANUGRAH 6,VIth block BEL Layout, SKDP Temple Road,VidyaranyapuraBengaluru 560097"
Charity For Urban And Rural Enhancement,Children,"ICRM Campus, , Mahadevapura, Mysore South, Mysore â€“ 570 008"
Chennabasaveshwara Centre For Research And Training,Rural Development & Poverty Alleviation,"CHENNABASAVESHWARA CENTRE FOR RESEARCH AND TRAINING. BLOCK NO-193. KIADB SUC LAND, KELELGERE VILLEGE, DHARWAD."
Chethanaloka Foundation,Health & Family Welfare,"Chethanaloka Foundation , Malnad Institute of Management Sciences., Opp.SBM Bank .court road ., Chikmagalur-577 101"
Child Empowerment Foundation India,Children,"CEFI Studio, 785, 2 Cross, Ayappa Layout Munnekolalu, Maratahalli"
Child Fund India,Children,"22 Museum Road,Bengaluru 560001"
Child Fund India,Children,"Post Box No. 5054, 22, , Museum Road,Bengaluru 560 001, , Karnataka, India"
Children Aid And Research Trust,Children,"MEDICARE CENTER, KARANGALPADY, MANGALORE 575003"
Chilume Samsthe,Labour & Employment,"Manoj Puttur, C/o Hanumantarayappa, , Opp. IUDP hoising board office, Chitradurga, 577501"
Chinnmayee Rural Education Center For Women,Health & Family Welfare,"CHINMAYEE RURAL EDUCATION CENTER FOR WOMEN (CREW), 15TH CROSS, NANDEESH LAYOUT, S. I. T EXTENSION, TUMKUR-572103"
Communication For Development And Learning,Children,"11/A, 7th Cross, 17th Main, Koramangala 6th Block,Bengaluru-560095"
Concern For India Foundation,Rural Development & Poverty Alleviation,"No. 8, 1st Cross, Sri Sai Nagar, Arehalli Village, Utharahalli"
Consultancy Research And Development Centre,Micro Small & Medium Enterprises,"C.R.Badrinath, Secretary CRDC, No. 1041, 13th cross, 35th main, J.P.Nagar 1st Phase,Bengaluru 560078"
Creative Cultural Youth Academy,Vocational Training,NO 932 JAKKURLAYOUT JAKKUR MAIN ROAD OPP TO A N T ACADEMYBengaluru NOTHBengaluru-560064
Crudes Christ Rural And Urban Development And Education Society,Rural Development & Poverty Alleviation,"CRUDES(R) , Mruthunjaya Complex, , 1st Floor, Opp: State Bank of Mysore, SBM Road, , Chitradurga-577501"
Cshemr,Health & Family Welfare,"No.34, Sajjan Rao Road, V V Puram,Bengaluru - 560004."
Cshemr Trust,Health & Family Welfare,"No.34, Sajjan Rao Road, V V Puram,Bengaluru - 56004."
C V Raman Educational Association,Rural Development & Poverty Alleviation,"1675/c3, College road, Nituvalli"
Daiwik Organization,Children,"DAIWIK ORGANIZATION, At;shed No. M-22,opp: SISI Office, KSSIDC Industrial Estate, Near K.S.R.T.C Depo No.1, M.S.K. Mill road,"
Darwesh Welfare Trust Gulbarga,Children,h.no 5-470/15/36 buland parvaz colony ring road gulbarga. pin code : 585104
Deshpande Rudseti,Micro Small & Medium Enterprises,"Deshpande RUDSETI(R), Udyog Vidyanagar, Dandeli Road, HALIYAL 581329"
Devakimahelasamaja,Health & Family Welfare,DEVAKI W/O RAJKUMAR GAVENAHALLI VILLAGE HASSAN TALUK AND DISTRICT - 573201
Development Education Service Deeds,Women's Development & Empowerment,Deeds 1st floor Anand Apartment Vasanthi Complex Kadri Mangalore 575002
Dhaatu,Rural Development & Poverty Alleviation,"3944/F, 17th D cross, 4th Main, BSK II stage,Bengaluru - 560070"
Dhanvanthari Seva Sansthan,Children,"ALANAHALLI, T NARASIPURA ROAD, MYSORE, KARNATAKA 570028"
Dinesh Joshi Foundation,Vocational Training,"NO14, SRI SAMARTHA, 60FEET ROAD, PATTEGARAPALYA MAIN ROAD, , VIJAYANAGAR,"
Divine Educational And Charitable Trust,Children,"SKIP HOUSE ANNEXURE, 25/1 MUSUEM ROAD,Bengaluru 560025"
Divya Chethana Seva Samsthe,Health & Family Welfare,"Divya Chethana Seva Samsthe (R), Door.No:2034/33, 9th Cross, Jeevan Nilaya, Siddaveerappa Badavane, Davanagere - 577004"
Diya Human Resource And Rural Development Trust,Children,"001 INLAND EXOTIC, 14- BENSON TOWN,Bengaluru - 560046"
Don Bosco Society,Children,"Don Bosco PYaR, NO. 617, GDA Lay out, , Naganahally Road, Dariyapur, Gulbarga - 585102"
Don Bosco Society Deodurga,Children,"Don Bosco, Chandanakere Road, Deodurga - 584 111, Raichur Dist, Karnataka, India"
Don Bosco Societygulbarga,Children,"Don Bosco Society, No. 617, G.D.A Layout, Dariyapur, Naganahalli Road, Gulbarga - 585102, Karnataka"
Dr Ambedkarcharitabletrust,Children,"No.441, 19th main M.E.I Layout. Behind S.R.S stores, Sidedahalli main road, Bagalagunte, Nagasandra Post,Bengaluru - 560073"
Drbabasahebambedkarruraldevelopmentandmultipurposesociety,Women's Development & Empowerment,DrBabasaheb Ambedkar Rural Development and Multipurpose Society Ghataprabha Tq Gokak Dt Belgaum
Dr Babu Jagjivanram Multipurpose Social Welfare Society,Dalit Upliftment,No 78 Sri Yellamma Devi Housing Society Plot 2nd cross Rajatgiri Dharwad 580004
