Name of NGO,Cause,Address,Link
The Nudge Foundation,Labour & Employment,"C9, 1st C Main Road, MCHS Colony Sector 6, HSR Layout",https://www.thenudge.org/
Tropical Research And Development Centre,Children,"67, Ground Floor, Ist Main, 3rd Cross,14th Block, Nagarbhavi II stage,Bengaluru-560072",https://www.trdcindia.org/
Vaani,Education,"No. 801, 2A Cross, 8th Main HRBR 1st Block, Kalyan Nagar",https://www.instagram.com/_vaanikapoor_/?hl=en
Vidyaranya,Education,"Mandur (Via) Virgonagar,Bengaluru East Taluk",https://en.wikipedia.org/wiki/Vidyaranya
Vishwas Trust,Education,"G-9, Ramanshree Chambers 
37 Lady Curzon Road,",http://www.helplinecharitabletrust.org/
Yuva Bengaluru,Education,"Yuva Global Foundation, No. 84, 1st Floor, 6th Cross, Coconut Avenue Road, Malleswaram,Bengaluru -560003",http://yuvabengaluru.org/
Aashrita Charitable Trust,Rural Development & Poverty Alleviation,"Aashrita Charitable Trust , No 2618 9 th Cross 14 th Main , E Block Sahakaranagara,Bengaluru -560092",https://socialprimes.com/ngo/caa31c8d-5505-45ee-9d49-114abf778075
Abalashram,Women's Development & Empowerment,"Abalashram, 125-6 Dr D V G Road, Basavanagudi,Bengaluru 560 004",https://www.abalashram.org/
Abhinaya Ranga Kendra,Health & Family Welfare,"ABHINAYA RANGA KENDRA KARANATKA , No:519, 12th A cross, vignshwaranagar, Vishwaneedam Post, Sunkadakatte,Bengaluru-560 091. Karnataka.",https://www.justdial.com/Bangalore/Abhinaya-Ranga-Kendra-Sunkadakatte/080PXX80-XX80-140617123300-G1W6_BZDET
Abilashrayam Trust,Children,No 373 2nd cross muniswamappa layout opp to kodigehalli railway stationBengaluru - 560092,http://www.abilashrayam.com/
Accept Society,Children,"ACCEPT, No: 245, KRC Road, Next to Visthar, Dodda Gubbi P O,Bengaluru, Karnataka, Pin code - 562 149",https://acceptindia.org/
Accomplish India,Children,"Accomplish India, 4, 324/62, Bellary Main Road, Ganganagar, Near CBI Office.,Bengaluru â€“ 560032",https://www.brookings.edu/podcast-episode/what-did-trumps-india-trip-accomplish/
Aids Jagruthi Mahila Sangha,Health & Family Welfare,"AIDS JAGTRUTHI MAHILA SANGHA, Plot No.22&25, Apeksha Building, Maruthi Colony, Athani Road Vijaypur- 586101",https://ngodarpan.gov.in/index.php/home/statewise_ngo/5518/29/13?
Akshara Foundation,Children,"AKSHARA FOUNDATION, No.633/634, 4th â€œCâ€ Main, 6th Cross, OBMR Layout, Banaswadi, ,Bengaluru â€“ 560043",https://akshara.org.in/
Aksharam Charitable Ffoundation,Women's Development & Empowerment,"3305 RANGASHREE , 10TH MAIN,4TH BLOCK , JAYANAGAR",https://en.wikipedia.org/wiki/Foundation_(nonprofit)
All India Childrens Welfare Foundation,Children,"15/1 , Appajappa Agrahara , 3rd main , Chamarajapet,Bengaluru-560018",http://www.cwf-inc.org/
Al Yameen Educational Charitable Trust,Children,"Door No. 6/1, Old Street, Ashok Nagar,Bengaluru - 560025",https://socialprimes.com/ngo/06c3423f-1d5f-490a-8c5d-a5aac483fb4f
Am Foundation,Health & Family Welfare,"13, Gandhinagar, Kaggalipura, Kanakapura Main Road",https://amfoundation.net.in/
Amicabes Ngo,Drinking Water,AMICABES NGO H NO 17-4-159 SHIVAGANGA NILAYA AGRICLTURE COLONY OPP SHIVKUMAR SWAMY GUMPPA MANHALLI ROAD BIDAR 585403,https://www.justdial.com/bidar/Amicabes-NGO-Manhalli/9999P8482-8482-140627163632-X5L6_BZDET?xid=QmlkYXIgTmdvcyBNYWlsb29yIEJpZGFy
Ammanni Charitable Trust,Rural Development & Poverty Alleviation,"No.284, 34th cross, 9th Main Road, 4th Block, Jayanagar,Bengaluru 560011",http://actsevak.com/ammanni_charitable_trust/home/about
Ammanni Charitable Trust,Women's Development & Empowerment,"No.284, 34th Cross, 9th Main Road, 4th Block, Jayanagar,Bengaluru 560011",http://actsevak.com/ammanni_charitable_trust/home/about
Amrutrhavahini Public And Charitable Trust,Health & Family Welfare,"No 6/1, 6th cross(left), magadi road,Bengaluru-560023",https://www.irs.gov/charities-non-profits/private-foundations/charitable-trusts-that-support-public-charities
Ananta Education Society,Children,"XIBMS, 906 , 9th Floor, B-Wing,], Mittal Towers, M.G. Road, 560001",https://www.xibms.com/xibms-accreditations.php
Ananyakalaniketana,Vocational Training,"3/49-1 kalashree, 3rd main new kempegowda layout bsk 3rd stage kathriguppe,Bengaluru, KARNATAKA 560085, India",https://www.picuki.com/profile/ananyakalaniketana
Anyuta Trust,Health & Family Welfare,"Dr.N. Ravindra shetty65.Lavelle road, 4th Cross,Bengaluru 560001",http://www.anyuta.org/
Arha Arogya Healthcare Associates,Health & Family Welfare,No 101 70th Cross 5th block Rajajinagar,https://www.justdial.com/Bangalore/Arha-Arogya-Healthcare-Associates-Rajajinagar/080PXX80-XX80-140616125958-P1Z1_BZDET
Ar Social Welfare Development Trust,Health & Family Welfare,275/3c Ibrahim Sabeh Stree Rashad Nagar Arabic College PostBengaluru-560045,https://guidestarindia.org/Summary.aspx?CCReg=2976
Arundhati Educational Trust,Dalit Upliftment,"No.638, 2nd Block, 3rd Stage, Basaveshwaranagar, Near Pushpanjali Theatre,Bengaluru - 560079.",https://www.justdial.com/Bangalore/Arundhati-Educational-Trust-Basaveshwara-Nagar/080PXX80-XX80-140617174304-X9A7_BZDET
Arunodaya Integrated Community Development Society R Banglaore,Rural Development & Poverty Alleviation,"ARUNODAYA INTEGRATED COMMUNITY DEVELOPMENT SOCIETY REGBengaluru, NO. 1/1 1ST FLOOR 1ST CROSS MARENAHALLI VIJAYANAGARABengaluru 560040",https://www.doaram.com/organization/arunodaya-integrated-community-development-society
ArunodyaintegratedcommunitydevelopmentsocietyBengaluru,Drinking Water,"ARUNODAYA INTEGRATED COMMUNITY DEVELOPMENT SOCIETY (R)Bengaluru, NO 1/1, 1ST MAIN, MARENAHALLI VIJAYANAGARABengaluru-560040",no link
Ashraya,Children,"Ashraya, No 8 Bloomfield Garden Bus Stop, Ramachandrapura Main Road, Vidyaranyapura",https://www.creeksidehealing.com/ashraya-riggio
Ashwini Priyadarshini Rural Development Social Educational And Health Organisation Karnataka,Children,"ASHWINI PRIYADARSHINI RUARL DEVELOPMENT SOCIAL EDUCATIONAL AND HEALTH ORGANISATION KARNATAKA, shri Ramakrishna Nursing Home Building Behind PWD quator",http://www.indianngos.org/ngo_detail.aspx?nprof=188424120
Association For Promoting Social Action Apsa,Children,"Association for Promoting Social Action, Nammane, No 34 Annasandrapalya, Vimanapura PostBengaluru 560 017",https://apsabangalore.org/
Association For Social Health In India Karnataka,Children,"Association For Social Health In India ,Abhayashrama,4th Cross,Wilson Garden,Bengaluru-560027,Karnataka",https://ashiindia.org/
Associationof Women E Ntrepreneurs Ofka Rnataka,Urban Development & Poverty Alleviation,"B-76,KSSIDC Industrial Estate,Ra jajiNagar Banga lore",https://awakeindia.org.in/
As We Trust,Women's Development & Empowerment,"No.1444, Subodha, Ist Main Road, Nagappa Block,Bengaluru - 21",https://www.wetrustco.com/
Ayathi Trust,Children,10B SOBHA EMERALD JAKKUR YELAHANKA,https://sensekaleidoscopes.wordpress.com/
Basileia Charitable Trust,Children,"NO:171/1, 2ND CROSS, BEHIND A.N VESSELS , RAMAMURTHY NAGAR MAIN ROAD .Bengaluru",https://guidestarindia.org/Summary.aspx?CCReg=6557
Belaku Charitable Society,Health & Family Welfare,"21/1,2nd cross,R.V.Shetty lay-out, Sheshadri puramBengaluru 560020.",https://mediniz.com/health-ngo/health-foundation/Bengaluru/belaku-charitable-society
Bengaluru Baptist Hospital Society,Health & Family Welfare,"Bengaluru Baptist Hospital , Bellary Road, Hebbal",https://www.expedia.com/Bangalore-Baptist-Hospital-Hotels.0-l553248633935897147-0.Travel-Guide-Filter-Hotels
Bharath Gyan Vigyan Samithi,Children,"Bharath gyan vigyan samithi, C/o Electrochemical society of India, Indian Institute of Science campus, Bengaluru-560012",https://www.bgvs.org/
Bhashantara Samshodane Matu Tarabethi SamstheBengaluru,Vocational Training,"Venkatesh R Sakre, Translation Organisation, No 2818, 1 Floor, 12 Main, 1 Cross, Near Mariyappana Palya Kuvempu Road Metro Station, 2nd Stage, D Block",http://www.indiangoslist.com/ngo-address/bhashantara-samshodane-matu-tarabethi-samsthe-bangalore-in-bangalore-karnataka_KA-2014-0078001
Bhoruka Charitable Trust,Children,"No. 39/1, Chandrashekar Nivasa, 2nd Floor, Sannidhi Road, Opp. Corporation hospital, Basavangudi,Bengaluru- 560 004",http://bctngo.org/
Bhudda Rural Education And Development Services Trust,Rural Development & Poverty Alleviation,"C/o Jnana BHarathi Convent, Vidya Nagara Near Ganapathi Temple Karekallahalli Gauribidanur town Chikkabalapur dist pin-561208",https://www.ngofoundation.in/ngo-directory/bhudda-rural-education-and-development-services-trust-trust-in-chikkaballapur-karnataka_i13611
Biocon Foundation,Children,"Biocon Foundation, 20th KM, Hosur Road, , Electronic City, ,Bengaluru - 560100",https://www.bioconfoundation.org/
Bosco,Children,"BOSCO Yuvodaya, No 91, B Street,6th Cross, Gandhinagar,Bengaluru 560009",https://www.boscoworld.com/
Cauvery Rural Development Society,Rural Development & Poverty Alleviation,"Cauvery campus, 23rd ward,Bagepalli Town, Bagepalli Taluk,ChikkaballapurDistrict, Karnataka",https://www.sulekha.com/cauvery-rural-development-society-benson-town-bangalore-contact-address
Ccc Shanthi Nilaya Community Health Care Centre,Health & Family Welfare,"CCC Shanti Nilaya Community Health Care Centre, , T.C.Palaya, K.R.Puram, ,Bengaluru, , Karnataka - 560 036",https://housing.com/in/buy/projects/ccc_shanthi_nilaya_community_health_care_centre_k_r_puram_lmk
Centre For Internet And Society,Children,"D-2, 3rd Floor, Shariff Chambers, 14 Cunningham Road,Bengaluru - 560052",https://cis-india.org/
Centre For Population Dynamics,Children,"The Centre for Population Dynamics , No. 312, Cauvery Block A4, , National Games Complex , Koramangala,Bengaluru 560047",https://www.mcgill.ca/popcentre/
Centre For Urban And Rural Development,Children,"Center for Urban and Rural Development, 181, canara bank colony, Nagarabhavi main Road,Bengaluru-560072",http://www.aicurd.com/
Chandrashekar Azad Youths Association,Children,"ANUGRAH 6,VIth block BEL Layout, SKDP Temple Road,VidyaranyapuraBengaluru 560097",https://en.wikipedia.org/wiki/Chandra_Shekhar_Azad
Child Empowerment Foundation India,Children,"CEFI Studio, 785, 2 Cross, Ayappa Layout Munnekolalu, Maratahalli",https://www.idealist.org/en/nonprofit/4171d56988104893a5d684731250ebff-child-empowerment-foundation-india-bangalore
Child Fund India,Children,"22 Museum Road,Bengaluru 560001",https://childfundindia.org/
Child Fund India,Children,"Post Box No. 5054, 22, , Museum Road,Bengaluru 560 001, , Karnataka, India",https://childfundindia.org/
Communication For Development And Learning,Children,"11/A, 7th Cross, 17th Main, Koramangala 6th Block,Bengaluru-560095",https://www.globalhand.org/en/browse/partnering/1/all/organisation/41217
Concern For India Foundation,Rural Development & Poverty Alleviation,"No. 8, 1st Cross, Sri Sai Nagar, Arehalli Village, Utharahalli",https://www.concernindiafoundation.org/
Creative Cultural Youth Academy,Vocational Training,NO 932 JAKKURLAYOUT JAKKUR MAIN ROAD OPP TO A N T ACADEMYBengaluru NOTHBengaluru-560064,https://www.creativeyouthdevelopment.org/wp-content/uploads/2016/09/Rise-of-Creative-Youth-Development.pdf
Cshemr,Health & Family Welfare,"No.34, Sajjan Rao Road, V V Puram,Bengaluru - 560004.",https://www.wordunscrambler.net/?word=cshemr
Cshemr Trust,Health & Family Welfare,"No.34, Sajjan Rao Road, V V Puram,Bengaluru - 56004.",https://www.newspapers.com/newspage/123605353/
Dhaatu,Rural Development & Poverty Alleviation,"3944/F, 17th D cross, 4th Main, BSK II stage,Bengaluru - 560070",https://www.dhaatupuppets.org/
Dinesh Joshi Foundation,Vocational Training,"NO14, SRI SAMARTHA, 60FEET ROAD, PATTEGARAPALYA MAIN ROAD, , VIJAYANAGAR,",https://www.dineshjoshi.com/
Divine Educational And Charitable Trust,Children,"SKIP HOUSE ANNEXURE, 25/1 MUSUEM ROAD,Bengaluru 560025",https://www.casemine.com/judgement/in/5e97af234653d048ca2bf751
Diya Human Resource And Rural Development Trust,Children,"001 INLAND EXOTIC, 14- BENSON TOWN,Bengaluru - 560046",https://www.ngofoundation.in/ngo-directory/diya-human-resource-and-rural-development-trust-trust-in-bangalore-karnataka_i25074
Dr Ambedkarcharitabletrust,Children,"No.441, 19th main M.E.I Layout. Behind S.R.S stores, Sidedahalli main road, Bagalagunte, Nagasandra Post,Bengaluru - 560073",http://www.newswire.com/dr-ambedkar-charitable-trust-noida/269938
Dr B R Ambedkar Sri Ramalingeshwara Health Rural Education Youth Awerness And Art Developmentsociety,Vocational Training,"DR B R AMBEDKAR SRI RAMALINGESHWARA HEALTH RURAL EDUCATION YOUTH AWERNESS AND ART DEVELOPMENTSOCIETY, UDDARAMANAHALLI CROSS, NAADUR POST, SIRA TQ, TUM",https://www.doaram.com/organization/dr-b-r-ambedkar-sri-ramalingeshwara-health-rural-education-youth-awerness-and-art-development-society
Dr Raja Ramanna Childrens Science Association R,Children,"Dr.Raja Ramanna Childrens Science Association R, No.21/1, 1st Floor, Aradhya Complex,Vani Vilas Road, Basavangudi,Bengaluru-560004",https://en.wikipedia.org/wiki/Raja_Ramanna
Dr S R Chandrasekhar Institute Of Speech And Hearing,Children,"The Director, Dr.S.R.Chandrasekhar Institute of Speech and Hearing, Hennur main road, Lingarajapuram,Bengaluru - 84",http://www.speechear.org/
Drushti Foundation,Health & Family Welfare,"Drushti Foundation, Behind Akkamahadevi College",https://twitter.com/drfrv
Durga Education Society R Chitradurga,Children,"G S LOKESHAMURTHY, DURGA HIGH SCHOOL , HEAD MASTER, MOLAKALMURTHY",https://www.ngofoundation.in/ngo-directory/durga-education-society-r-chitradurga-society-in-chitradurga-karnataka_i25114
Dyanodaya Womens Education Social Welfair Society,Children,"MRS.SHEIKH .N.B., With President / CEO \t C/O .SHRI.L.H.NADAF. :, HOUS NO.1833,HOLIKATTI GALLI,ATHANI.\t\t, TAL : ATHANI, DIST: BELGAUM. \t KARNATAKA",https://www.justdial.com/Belgaum/Dyanodaya-Womens-Education-Social-Welfare-Society-Athani-Belgaum/9999PX831-X831-140630150045-C4H7_BZDET
Ed Varsity,Vocational Training,"12,Santha Paradise,121 Wheeler Road,Cox town,Bengaluru-560005,India",https://www.varsity.com/news/northview-takes-on-the-co-ed-varsity-show-cheer-division/
Elcia Trust,Children,"ELCIA TRUST, S.NO.7(P),ELECTRONICS CITY-WEST PHASE, HOSUR ROAD,Bengaluru ,KARNATAKA., 560100",http://www.elcia.in/trust/
Emmanuel Orphanage And Childcare Center,Children,"13/1 MUNINARASIMAPPA GARDEN, BTM 1ST STAGE, TAVEREKERE,Bengaluru-560029",https://sadsindia.org/ngo/emmanuel-orphanage-and-childcare-center/
Exindo,Children,"No.86/3, Upstairs, between 6th&7th Cross,IVthMain, Chamrajpet,Bengaluru-560018",http://www.exindo.com/
Felicific Salve Hearts,Children,"No.5, 2nd Cross, 9th Main, Srinivasareddy Layout, Ramamurthy Nagar,Bengaluru - 560016","https://www.glassdoor.com/Overview/Working-at-Felicific-Salve-Hearts-EI_IE714155.11,33.htm"
Foundation For Action Motivation And Empowerment Fame India,Children,"Foundation for Action, Motivation and Empowerment (F.A.M. E. India), No. 156, 36th Cross, 2nd Main, Jayanagar 7th Block,Bengaluru, Karnataka 560082",https://www.fameindia.org/
Functional Vocational Training And Research Society,Vocational Training,"Functional vocational Training and Research Society, 19, 3rd Cross, Hutchins Road, St. Thomas Town Post,Bengaluru 560 084",https://www.fvtrs.org/
Gaanaganga,Vocational Training,"NO.50, 5TH MAIN, POSTAL COLONY, SANJAYNAGARBengaluru-560094",https://www.fitternity.com/gaanaganga-institute-of-fine-art-sahakara-nagar
Gandharva Samskritika Kala Vedike,Rural Development & Poverty Alleviation,"GANDHARVA SAMSKRITIKA KALA VEDIKE (R) , NO. 22, VEERABHADRA, 1ST CROSS, GOVINDAPPA LAYOUT, R.M.V. 2ND STAGE, SANJAYANAGAR POST, NAGASHETTIHALLI, BENGA",https://www.doaram.com/organization/gandharva-samskritika-kala-vedike
Gloria Educational And Charitable Trust,Rural Development & Poverty Alleviation,"No.6, 3rd Floor, 9th Cross, 9th Main Road, 2nd Block Jayanagar,Bengaluru-560011",https://gloriacharitable.org/
Grama Swaraj Samithi,Drinking Water,"5, Adilakshmi Nilaya, Rajeev Gandhi Road, Jaraganahalli, J P Nagar Post,",http://office.incometaxindia.gov.in/bengaluru/Lists/Exempted%20Institutions/DispForm.aspx?ID=515&ContentTypeId=0x01001AE1F699F2DFF14FA41F91FD11312D28
Green Mountain Educational And Charitable Trust,Children,"NO.1910, 2ND FLOOR 8TH â€œAâ€ CROSS , H.A.L 3RD STAGE,Bengaluru-560075",no link
Guard,Health & Family Welfare,"GUARD (GROUP FOR URBAN AND RURAL DEVELOPMENT), House No. 3, Block No. 7, Karnataka Government Employees Layout, Shivashakthi Road, Shakthi Nagar, MYSO",no link
Hasanamba Institute For Higher Education,Children,"1st floor, J.V.Ram Complex, Opp. Gokul Hotel, K.R.Puram, Hassan- 573 201",no link
Hejje Rural Development And Education Society,Dalit Upliftment,"president/secretary, Hejje rural development and education society, No 2261 jayanagar nelamangala,Bengaluru rural dist 562123, karnataka",no link
Help Child India Foundation,Children,HELP CHILD INDIA FOUNDATION NO-1031.7TH A MAIN 1ST BLOCK KORAMANGALA,no link
Heritage,Rural Development & Poverty Alleviation,"Heritage, Chinmaya Apts, no. 1, Puttanna Road, Basavangudi,Bengaluru 560 004",https://www.ha.com/
Hindu Seva Prathisthana,Children,"Head Office: Hindu Seva Prathisthana,Ajita Shree, Bull Temple Road, Basavanagudi,Bengaluru -",no link
Hippocampus Reading Foundation,Children,"No 525, 16th main, 3rd block, Koramangala,Bengaluru - 560034",no link
Holistic Development Association,Children,"No. 82/1, Near Pavithra Vidyanikethan, RMV 2nd Stage, Nagasettyhalli,Bengaluru - 560 094.",no link
India Community Development Service Society,Children,No 726 2nd Floor 3rd Cross 2nd Stage D Block Dr RajKumar Road Rajaji Nagara Bengaluru 560010,no link
India Health Action Trust,Children,"India Health Action Trust, 13, 1st Floor, 4th Cross, N S Iyengar Street, Seshadripuram",no link
India Literacy Project,Children,"India Literacy Project , 27, Narayani Apartments, 3rd Floor, Ramakrishnappa Layout, Sanjay Nagar,",no link
Indian Council For Diabetic Care,Health & Family Welfare,"Indian Council for Diabetic Care,14, Hennur Main Road, Kacharakanahalli,Bangaluru-560 084",no link
Indian Council For Professional And Vocational Education Mission,Vocational Training,"Indian Council for Professional and Vocational education Mission (ICPVEM), 14, Hennur Main Road, Kacharakanahalli,Bengaluru-560 084",no link
Indian Mission For Children In Crisis,Children,"No.1, Subedar Pallayam Main Road, Yeshwantpur,Bengaluru-560022",no link
Indian Social Institute,Women's Development & Empowerment,"INDIAN SOCIAL INSTITUTE, 24 Benson Road, Benson Town,Bengaluru 560 046, Karnataka",no link
India Vision For Global World,Children,"No.134, M.R.S. Palya, Nandidurga Road, Benson Town Post",no link
Inmex Trading Company,Health & Family Welfare,"NO.22,20TH CROSS , SIR M V NAGAR , RAMMURTHY NAGAR ,Bengaluru -560016",no link
Institute Of Public Health,Health & Family Welfare,No250 Masters Cottage 2nd C Main 2nd C cross Girinagar 1st phase,no link
International Services Association Insa India,Children,"5 bar1 Benson Cross Road, Benson Town, 560046",no link
International Sri Malaimahadeshwar Service Organisation Trust,Women's Development & Empowerment,"INTERNATIONAL SRI MALAIMAHADESHWAR SERVICE ORGANISATION TRUST, NO.210, 7th CROSS, 6th MAIN, INDUSTRIAL TOWN, RAJAJI NAGAR,Bengaluru-560010",no link
Jagathika Nagara Mattu Grameena Aadaaya Abhivruddi Samsthe,Health & Family Welfare,"Corporate office : 51,4th main 4th cross N R ColonyBengaluru 560019",no link
Jagruthi Welfare Of Poor Women,Children,"JAGRUTHI WELFARE OF POOR WOMEN, HOUSE NO. 1382, 3RD MAIN, 10TH CROSS, VIVEKANANDA NAGAR, MYSORE- 570023, KARNATAKA",no link
Jana Kalyana Trust,Dalit Upliftment,"Jana Kalyana Trust, 402, I Mail, I Stage, II Block, H.B.R Layout,Bengaluru 560043",no link
Jayamma Charitable Trust,Vocational Training,"No 6,5th Main 10th C cross NagapuraBengaluru-506086",no link
Jeevan Prakash Education Society,Children,"Plot. No. 9-6-242/243, C/o. Ramesh Panday, First Floor., Plot. No. 9-6-242/243,Behind Raita Bhavan, Gandhi Ganj",no link
Jeevarathni Foundation,Children,"20, Trinity Orchards, Geddalahalli,Bengaluru - 560043",no link
Jenukallu Womens Multi Purpose Cooperative Society,Women's Development & Empowerment,"54 , 3RD MAIN ,NETAJI CIRCLE, J.S NAGAR, NANDINI LAYOUT ,Bengaluru-560096,KARNATAKA,INDIA.",no link
Jnanamfoundation,Children,"No.209, 9th Block, Maruthi Layout, Near Saraswathi Vidya Mandir, Anekal â€“ 562 106",https://sites.google.com/site/thejnanamfoundation
Jubilant Star Charitable Trust,Health & Family Welfare,"no 619,4th main,meenakshinagar , kamakshipalya ,Bengaluru-79",https://www.justdial.com/Bangalore/Jubilant-star-Charitable-trust/080PXX80-XX80-140624090001-U6V9_BZDET
Jude Felix Hockey Academy Charitable Trust,Children,"68/31 DODDAIAH LAY OUT, JOGUPALYA HALASURU",no link
Kalasindhu Academy Of Dance,Children,"KALASINDHU, No.12, 1st East Main Road, ITI Layout, Next to Shivaranjani Apartments, Banashankari 3rd stage,Bengaluru - 560070",https://kalasindhu.com/
Kalasindhu Academy Of Dance And Related Arts,Children,"No.12, 1st East Main Road,ITI Layout, Banashankari 3rd Stage,Bengaluru-560070",no link
Kamaluddin Charitable Trust,Children,NO 48 WELLINGTON STREET RICHMOND TOWN,no link
Kannadi,Children,"No 170, V C N Complex, Ground Floor, 1st Main Road, Sheshadripuram,Bengaluru-560020",no link
Karnataka Goods Transporters Association,Health & Family Welfare,"No. 12/A, B.G.S Raja Mansion, 2nd Floor, 5th Cross, 2nd Main, Kalasipalyam, New Extn, ,Bengaluru",http://kgta.in/
Karnataka Kidney Health Foundation Trust,Health & Family Welfare,"KARNATAKA KIDNEY HEALTH FOUNDATION TRUST, No 392, LAKSHMI NILIYA, BAICHNAHALLI FIRST STAGE",https://www.doaram.com/organization/karnataka-kidney-health-foundation-trust
Karnataka Ranga Jagruthi Parishattu,Vocational Training,"No.275, Mahamane, BCC Layout, 2nd Stage, Chandra Layout, Vijayanagar",http://www.indiangoslist.com/ngo-address/karnataka-ranga-jagruthi-parishattu-in-bangalore-karnataka_KA-2014-0081323
Karnataka Regional Organisation For Social Service,Women's Development & Empowerment,"Karnataka Regional Organisation For Social Service Kross , 58 6 2nd Cross Da Costa Layout, Wheeler Road Extension, St Thomas Town Bengaluru 560 084, K",http://www.krossbangalore.org/
Karnataka State Council For Child Welfare,Children,"Karnataka State Council for Child Welfare, 135, 3rd Cross, Nandi Durga Road, Jayamahal Extension,Bengaluru - 560046",https://www.ksccw.in/
Karnataka State Skill Development Mission,Health & Family Welfare,"Ravi Shanker, 712, 15th A Main, New Town, Yelahanka",https://www.kaushalkar.com/about-us/
Karnataka Welfare Federation,Rural Development & Poverty Alleviation,"15,rajiv gandhi road,jaraganahalli,k.p.main road,Bengaluru 78",https://starofmysore.com/tag/karnataka-state-government-daily-wage-employees-welfare-federation/
Karnataka Womens And Childs Welfare Educational Society,Women's Development & Empowerment,"154/1,385 , A BLOCK,3RD CROSSS,SUBHASHNAGAR,BEGUR POST,SINkwcsGSANDRA POST,HOSUR ROAD,Bengaluru-560068",https://www.justdial.com/Bangalore/Karnataka-Womens-And-Childs-Welfare-Educational-Society-Hosur-Road/080PXX80-XX80-140711123127-M9N7_BZDET
Karuna Trust,Vocational Training,"Karuna Trust, Jayanagar, 4th, T- Block, 686, 16th Main,Bengaluru560041",https://www.karuna.org/
Kaveri Urban And Rural Development Organization,Rural Development & Poverty Alleviation,"Kaveri urban and Rural Development Organization, 1st Main 1st Stage, behind Fire Station Gokula, Tumkur-572104",https://www.doaram.com/organization/kaveri-urban-and-rural-development-organization
Kmd International Education Trust,Children,"2, St. Johns Church Road,",https://www.doaram.com/organization/kmd-international-education-trust
Kote Foundation,Children,"No 67-68/51, Sudev Complex, 1st Floor, South Cross Road, Basavanagudi,Bengaluru, Karnataka, 560004",https://righttolive.org/
