Name of NGO,Cause,Address
Ananyakalaniketana,Vocational Training,"3/49-1 kalashree, 3rd main new kempegowda layout bsk 3rd stage kathriguppe,Bengaluru, KARNATAKA 560085, India"
Anyuta Trust,Health & Family Welfare,"Dr.N. Ravindra shetty65.Lavelle road, 4th Cross,Bengaluru 560001"
Arha Arogya Healthcare Associates,Health & Family Welfare,No 101 70th Cross 5th block Rajajinagar
Ar Social Welfare Development Trust,Health & Family Welfare,275/3c Ibrahim Sabeh Stree Rashad Nagar Arabic College PostBengaluru-560045
Arundhati Educational Trust,Dalit Upliftment,"No.638, 2nd Block, 3rd Stage, Basaveshwaranagar, Near Pushpanjali Theatre,Bengaluru - 560079."
Arunodaya Integrated Community Development Society R Banglaore,Rural Development & Poverty Alleviation,"ARUNODAYA INTEGRATED COMMUNITY DEVELOPMENT SOCIETY REGBengaluru, NO. 1/1 1ST FLOOR 1ST CROSS MARENAHALLI VIJAYANAGARABengaluru 560040"
ArunodyaintegratedcommunitydevelopmentsocietyBengaluru,Drinking Water,"ARUNODAYA INTEGRATED COMMUNITY DEVELOPMENT SOCIETY (R)Bengaluru, NO 1/1, 1ST MAIN, MARENAHALLI VIJAYANAGARABengaluru-560040"
Ashraya,Children,"Ashraya, No 8 Bloomfield Garden Bus Stop, Ramachandrapura Main Road, Vidyaranyapura"
Ashwini Priyadarshini Rural Development Social Educational And Health Organisation Karnataka,Children,"ASHWINI PRIYADARSHINI RUARL DEVELOPMENT SOCIAL EDUCATIONAL AND HEALTH ORGANISATION KARNATAKA, shri Ramakrishna Nursing Home Building Behind PWD quator"
Association For Promoting Social Action Apsa,Children,"Association for Promoting Social Action, Nammane, No 34 Annasandrapalya, Vimanapura PostBengaluru 560 017"
Association For Social Health In India Karnataka,Children,"Association For Social Health In India ,Abhayashrama,4th Cross,Wilson Garden,Bengaluru-560027,Karnataka"
Associationof Women E Ntrepreneurs Ofka Rnataka,Urban Development & Poverty Alleviation,"B-76,KSSIDC Industrial Estate,Ra jajiNagar Banga lore"
As We Trust,Women's Development & Empowerment,"No.1444, Subodha, Ist Main Road, Nagappa Block,Bengaluru - 21"
Ayathi Trust,Children,10B SOBHA EMERALD JAKKUR YELAHANKA
Basileia Charitable Trust,Children,"NO:171/1, 2ND CROSS, BEHIND A.N VESSELS , RAMAMURTHY NAGAR MAIN ROAD .Bengaluru"
Belaku Charitable Society,Health & Family Welfare,"21/1,2nd cross,R.V.Shetty lay-out, Sheshadri puramBengaluru 560020."
Bengaluru Baptist Hospital Society,Health & Family Welfare,"Bengaluru Baptist Hospital , Bellary Road, Hebbal"
Bharath Gyan Vigyan Samithi,Children,"Bharath gyan vigyan samithi, C/o Electrochemical society of India, Indian Institute of Science campus, Bengaluru-560012"
Bhashantara Samshodane Matu Tarabethi SamstheBengaluru,Vocational Training,"Venkatesh R Sakre, Translation Organisation, No 2818, 1 Floor, 12 Main, 1 Cross, Near Mariyappana Palya Kuvempu Road Metro Station, 2nd Stage, D Block"
Bhoruka Charitable Trust,Children,"No. 39/1, Chandrashekar Nivasa, 2nd Floor, Sannidhi Road, Opp. Corporation hospital, Basavangudi,Bengaluru- 560 004"
Bhudda Rural Education And Development Services Trust,Rural Development & Poverty Alleviation,"C/o Jnana BHarathi Convent, Vidya Nagara Near Ganapathi Temple Karekallahalli Gauribidanur town Chikkabalapur dist pin-561208"
Biocon Foundation,Children,"Biocon Foundation, 20th KM, Hosur Road, , Electronic City, ,Bengaluru - 560100"
Bosco,Children,"BOSCO Yuvodaya, No 91, B Street,6th Cross, Gandhinagar,Bengaluru 560009"
Cauvery Rural Development Society,Rural Development & Poverty Alleviation,"Cauvery campus, 23rd ward,Bagepalli Town, Bagepalli Taluk,ChikkaballapurDistrict, Karnataka"
Ccc Shanthi Nilaya Community Health Care Centre,Health & Family Welfare,"CCC Shanti Nilaya Community Health Care Centre, , T.C.Palaya, K.R.Puram, ,Bengaluru, , Karnataka - 560 036"
Centre For Internet And Society,Children,"D-2, 3rd Floor, Shariff Chambers, 14 Cunningham Road,Bengaluru - 560052"
Centre For Population Dynamics,Children,"The Centre for Population Dynamics , No. 312, Cauvery Block A4, , National Games Complex , Koramangala,Bengaluru 560047"
Centre For Urban And Rural Development,Children,"Center for Urban and Rural Development, 181, canara bank colony, Nagarabhavi main Road,Bengaluru-560072"
Chandrashekar Azad Youths Association,Children,"ANUGRAH 6,VIth block BEL Layout, SKDP Temple Road,VidyaranyapuraBengaluru 560097"
Child Empowerment Foundation India,Children,"CEFI Studio, 785, 2 Cross, Ayappa Layout Munnekolalu, Maratahalli"
Child Fund India,Children,"22 Museum Road,Bengaluru 560001"
Child Fund India,Children,"Post Box No. 5054, 22, , Museum Road,Bengaluru 560 001, , Karnataka, India"
Communication For Development And Learning,Children,"11/A, 7th Cross, 17th Main, Koramangala 6th Block,Bengaluru-560095"
Concern For India Foundation,Rural Development & Poverty Alleviation,"No. 8, 1st Cross, Sri Sai Nagar, Arehalli Village, Utharahalli"
Creative Cultural Youth Academy,Vocational Training,NO 932 JAKKURLAYOUT JAKKUR MAIN ROAD OPP TO A N T ACADEMYBengaluru NOTHBengaluru-560064
Cshemr,Health & Family Welfare,"No.34, Sajjan Rao Road, V V Puram,Bengaluru - 560004."
Cshemr Trust,Health & Family Welfare,"No.34, Sajjan Rao Road, V V Puram,Bengaluru - 56004."
Dhaatu,Rural Development & Poverty Alleviation,"3944/F, 17th D cross, 4th Main, BSK II stage,Bengaluru - 560070"
Dinesh Joshi Foundation,Vocational Training,"NO14, SRI SAMARTHA, 60FEET ROAD, PATTEGARAPALYA MAIN ROAD, , VIJAYANAGAR,"
Divine Educational And Charitable Trust,Children,"SKIP HOUSE ANNEXURE, 25/1 MUSUEM ROAD,Bengaluru 560025"
Diya Human Resource And Rural Development Trust,Children,"001 INLAND EXOTIC, 14- BENSON TOWN,Bengaluru - 560046"
Dr Ambedkarcharitabletrust,Children,"No.441, 19th main M.E.I Layout. Behind S.R.S stores, Sidedahalli main road, Bagalagunte, Nagasandra Post,Bengaluru - 560073"
Dr B R Ambedkar Sri Ramalingeshwara Health Rural Education Youth Awerness And Art Developmentsociety,Vocational Training,"DR B R AMBEDKAR SRI RAMALINGESHWARA HEALTH RURAL EDUCATION YOUTH AWERNESS AND ART DEVELOPMENTSOCIETY, UDDARAMANAHALLI CROSS, NAADUR POST, SIRA TQ, TUM"
Dr Raja Ramanna Childrens Science Association R,Children,"Dr.Raja Ramanna Childrens Science Association R, No.21/1, 1st Floor, Aradhya Complex,Vani Vilas Road, Basavangudi,Bengaluru-560004"
Dr S R Chandrasekhar Institute Of Speech And Hearing,Children,"The Director, Dr.S.R.Chandrasekhar Institute of Speech and Hearing, Hennur main road, Lingarajapuram,Bengaluru - 84"
Drushti Foundation,Health & Family Welfare,"Drushti Foundation, Behind Akkamahadevi College"
Durga Education Society R Chitradurga,Children,"G S LOKESHAMURTHY, DURGA HIGH SCHOOL , HEAD MASTER, MOLAKALMURTHY"
Dyanodaya Womens Education Social Welfair Society,Children,"MRS.SHEIKH .N.B., With President / CEO \t C/O .SHRI.L.H.NADAF. :, HOUS NO.1833,HOLIKATTI GALLI,ATHANI.\t\t, TAL : ATHANI, DIST: BELGAUM. \t KARNATAKA"
Ed Varsity,Vocational Training,"12,Santha Paradise,121 Wheeler Road,Cox town,Bengaluru-560005,India"
Elcia Trust,Children,"ELCIA TRUST, S.NO.7(P),ELECTRONICS CITY-WEST PHASE, HOSUR ROAD,Bengaluru ,KARNATAKA., 560100"
Emmanuel Orphanage And Childcare Center,Children,"13/1 MUNINARASIMAPPA GARDEN, BTM 1ST STAGE, TAVEREKERE,Bengaluru-560029"
Exindo,Children,"No.86/3, Upstairs, between 6th&7th Cross,IVthMain, Chamrajpet,Bengaluru-560018"
Felicific Salve Hearts,Children,"No.5, 2nd Cross, 9th Main, Srinivasareddy Layout, Ramamurthy Nagar,Bengaluru - 560016"
Foundation For Action Motivation And Empowerment Fame India,Children,"Foundation for Action, Motivation and Empowerment (F.A.M. E. India), No. 156, 36th Cross, 2nd Main, Jayanagar 7th Block,Bengaluru, Karnataka 560082"
Functional Vocational Training And Research Society,Vocational Training,"Functional vocational Training and Research Society, 19, 3rd Cross, Hutchins Road, St. Thomas Town Post,Bengaluru 560 084"
Gaanaganga,Vocational Training,"NO.50, 5TH MAIN, POSTAL COLONY, SANJAYNAGARBengaluru-560094"
Gandharva Samskritika Kala Vedike,Rural Development & Poverty Alleviation,"GANDHARVA SAMSKRITIKA KALA VEDIKE (R) , NO. 22, VEERABHADRA, 1ST CROSS, GOVINDAPPA LAYOUT, R.M.V. 2ND STAGE, SANJAYANAGAR POST, NAGASHETTIHALLI, BENGA"
Gloria Educational And Charitable Trust,Rural Development & Poverty Alleviation,"No.6, 3rd Floor, 9th Cross, 9th Main Road, 2nd Block Jayanagar,Bengaluru-560011"
Grama Swaraj Samithi,Drinking Water,"5, Adilakshmi Nilaya, Rajeev Gandhi Road, Jaraganahalli, J P Nagar Post,"
Green Mountain Educational And Charitable Trust,Children,"NO.1910, 2ND FLOOR 8TH â€œAâ€ CROSS , H.A.L 3RD STAGE,Bengaluru-560075"
Guard,Health & Family Welfare,"GUARD (GROUP FOR URBAN AND RURAL DEVELOPMENT), House No. 3, Block No. 7, Karnataka Government Employees Layout, Shivashakthi Road, Shakthi Nagar, MYSO"
Hasanamba Institute For Higher Education,Children,"1st floor, J.V.Ram Complex, Opp. Gokul Hotel, K.R.Puram, Hassan- 573 201"
Hejje Rural Development And Education Society,Dalit Upliftment,"president/secretary, Hejje rural development and education society, No 2261 jayanagar nelamangala,Bengaluru rural dist 562123, karnataka"
Help Child India Foundation,Children,HELP CHILD INDIA FOUNDATION NO-1031.7TH A MAIN 1ST BLOCK KORAMANGALA
Heritage,Rural Development & Poverty Alleviation,"Heritage, Chinmaya Apts, no. 1, Puttanna Road, Basavangudi,Bengaluru 560 004"
Hindu Seva Prathisthana,Children,"Head Office: Hindu Seva Prathisthana,Ajita Shree, Bull Temple Road, Basavanagudi,Bengaluru -"
Hippocampus Reading Foundation,Children,"No 525, 16th main, 3rd block, Koramangala,Bengaluru - 560034"
Holistic Development Association,Children,"No. 82/1, Near Pavithra Vidyanikethan, RMV 2nd Stage, Nagasettyhalli,Bengaluru - 560 094."
India Community Development Service Society,Children,No 726 2nd Floor 3rd Cross 2nd Stage D Block Dr RajKumar Road Rajaji Nagara Bengaluru 560010
India Health Action Trust,Children,"India Health Action Trust, 13, 1st Floor, 4th Cross, N S Iyengar Street, Seshadripuram"
India Literacy Project,Children,"India Literacy Project , 27, Narayani Apartments, 3rd Floor, Ramakrishnappa Layout, Sanjay Nagar,"
Indian Council For Diabetic Care,Health & Family Welfare,"Indian Council for Diabetic Care,14, Hennur Main Road, Kacharakanahalli,Bangaluru-560 084"
Indian Council For Professional And Vocational Education Mission,Vocational Training,"Indian Council for Professional and Vocational education Mission (ICPVEM), 14, Hennur Main Road, Kacharakanahalli,Bengaluru-560 084"
Indian Mission For Children In Crisis,Children,"No.1, Subedar Pallayam Main Road, Yeshwantpur,Bengaluru-560022"
Indian Social Institute,Women's Development & Empowerment,"INDIAN SOCIAL INSTITUTE, 24 Benson Road, Benson Town,Bengaluru 560 046, Karnataka"
India Vision For Global World,Children,"No.134, M.R.S. Palya, Nandidurga Road, Benson Town Post"
Inmex Trading Company,Health & Family Welfare,"NO.22,20TH CROSS , SIR M V NAGAR , RAMMURTHY NAGAR ,Bengaluru -560016"
Institute Of Public Health,Health & Family Welfare,No250 Masters Cottage 2nd C Main 2nd C cross Girinagar 1st phase
International Services Association Insa India,Children,"5 bar1 Benson Cross Road, Benson Town, 560046"
International Sri Malaimahadeshwar Service Organisation Trust,Women's Development & Empowerment,"INTERNATIONAL SRI MALAIMAHADESHWAR SERVICE ORGANISATION TRUST, NO.210, 7th CROSS, 6th MAIN, INDUSTRIAL TOWN, RAJAJI NAGAR,Bengaluru-560010"
Jagathika Nagara Mattu Grameena Aadaaya Abhivruddi Samsthe,Health & Family Welfare,"Corporate office : 51,4th main 4th cross N R ColonyBengaluru 560019"
Jagruthi Welfare Of Poor Women,Children,"JAGRUTHI WELFARE OF POOR WOMEN, HOUSE NO. 1382, 3RD MAIN, 10TH CROSS, VIVEKANANDA NAGAR, MYSORE- 570023, KARNATAKA"
Jana Kalyana Trust,Dalit Upliftment,"Jana Kalyana Trust, 402, I Mail, I Stage, II Block, H.B.R Layout,Bengaluru 560043"
Jayamma Charitable Trust,Vocational Training,"No 6,5th Main 10th C cross NagapuraBengaluru-506086"
Jeevan Prakash Education Society,Children,"Plot. No. 9-6-242/243, C/o. Ramesh Panday, First Floor., Plot. No. 9-6-242/243,Behind Raita Bhavan, Gandhi Ganj"
Jeevarathni Foundation,Children,"20, Trinity Orchards, Geddalahalli,Bengaluru - 560043"
Jenukallu Womens Multi Purpose Cooperative Society,Women's Development & Empowerment,"54 , 3RD MAIN ,NETAJI CIRCLE, J.S NAGAR, NANDINI LAYOUT ,Bengaluru-560096,KARNATAKA,INDIA."
Jnanamfoundation,Children,"No.209, 9th Block, Maruthi Layout, Near Saraswathi Vidya Mandir, Anekal â€“ 562 106"
Jubilant Star Charitable Trust,Health & Family Welfare,"no 619,4th main,meenakshinagar , kamakshipalya ,Bengaluru-79"
Jude Felix Hockey Academy Charitable Trust,Children,"68/31 DODDAIAH LAY OUT, JOGUPALYA HALASURU"
Kalasindhu Academy Of Dance,Children,"KALASINDHU, No.12, 1st East Main Road, ITI Layout, Next to Shivaranjani Apartments, Banashankari 3rd stage,Bengaluru - 560070"
Kalasindhu Academy Of Dance And Related Arts,Children,"No.12, 1st East Main Road,ITI Layout, Banashankari 3rd Stage,Bengaluru-560070"
Kamaluddin Charitable Trust,Children,NO 48 WELLINGTON STREET RICHMOND TOWN
Kannadi,Children,"No 170, V C N Complex, Ground Floor, 1st Main Road, Sheshadripuram,Bengaluru-560020"
Karnataka Goods Transporters Association,Health & Family Welfare,"No. 12/A, B.G.S Raja Mansion, 2nd Floor, 5th Cross, 2nd Main, Kalasipalyam, New Extn, ,Bengaluru"
Karnataka Kidney Health Foundation Trust,Health & Family Welfare,"KARNATAKA KIDNEY HEALTH FOUNDATION TRUST, No 392, LAKSHMI NILIYA, BAICHNAHALLI FIRST STAGE"
Karnataka Ranga Jagruthi Parishattu,Vocational Training,"No.275, Mahamane, BCC Layout, 2nd Stage, Chandra Layout, Vijayanagar"
Karnataka Regional Organisation For Social Service,Women's Development & Empowerment,"Karnataka Regional Organisation For Social Service Kross , 58 6 2nd Cross Da Costa Layout, Wheeler Road Extension, St Thomas Town Bengaluru 560 084, K"
Karnataka State Council For Child Welfare,Children,"Karnataka State Council for Child Welfare, 135, 3rd Cross, Nandi Durga Road, Jayamahal Extension,Bengaluru - 560046"
Karnataka State Skill Development Mission,Health & Family Welfare,"Ravi Shanker, 712, 15th A Main, New Town, Yelahanka"
Karnataka Welfare Federation,Rural Development & Poverty Alleviation,"15,rajiv gandhi road,jaraganahalli,k.p.main road,Bengaluru 78"
Karnataka Womens And Childs Welfare Educational Society,Women's Development & Empowerment,"154/1,385 , A BLOCK,3RD CROSSS,SUBHASHNAGAR,BEGUR POST,SINkwcsGSANDRA POST,HOSUR ROAD,Bengaluru-560068"
Karuna Trust,Vocational Training,"Karuna Trust, Jayanagar, 4th, T- Block, 686, 16th Main,Bengaluru560041"
Kaveri Urban And Rural Development Organization,Rural Development & Poverty Alleviation,"Kaveri urban and Rural Development Organization, 1st Main 1st Stage, behind Fire Station Gokula, Tumkur-572104"
Kmd International Education Trust,Children,"2, St. Johns Church Road,"
Kote Foundation,Children,"No 67-68/51, Sudev Complex, 1st Floor, South Cross Road, Basavanagudi,Bengaluru, Karnataka, 560004"
Kripa Revival Centre,Health & Family Welfare,"No.1/1, Narayanswamy Building, Dasarahalli -H.A Farm Post,Bengaluru â€“ 560024. India"
Ksmta,Health & Family Welfare,"N0 2619, 36th ""A"" Cross 4th T Block 26th Main JayanagarBengaluru 560069"
Leading Light Ministries Trust,Children,"Leading Light Ministries Trust, No.!, Kings Court, 5th Main, 4th Crosss, Hampinagar,Bengaluru-560104"
Lokasevashrama Trust Regd,Vocational Training,Alambadi V PO Malur Taluk Kolar District 563130
Lokee Foundation,Women's Development & Empowerment,"LOKEE FOUNDATION, (LATE SREE C VENKATE GOWDA MEMORIAL TRUST), BALUVANAHALLI, VENKATAPURA(POST), SIDLAGHATTA(TALUK), Chikkaballapur(DIST)"
Lovedale Foundation,Children,"Admin Office, 51,8th Main , Horamavu Main Road, Kalyan Nagar,Bengaluru 560043"
Maa Trust,Health & Family Welfare,"M-27, 5TH CROSS, GANDHINAGAR, SHAMPURA VILLAGE,Bengaluru"
Maha Bodhi Society,Children,"Maha Bodhi Society, 14, Kalidasa Road, Gandhinagar, Bengaluru - 560009"
Mahatma Gandhi Vidya Peetha Trust,Health & Family Welfare,"MAHATMA GANDHI VIDYA PEETHA TRUST, DAYANANDA SAGAR EDUCATIONAL INSTITUTIONS, SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT,Bengaluru 560 078"
Malayachala Mahadeshwara Education Society,Children,"Malayachala Mahadeshwara Education Society , No.30,5th Cross,Rajiv Gandhi Nagar,Sunkada Katte,Bengaluru-560091"
Manav Charities,Vocational Training,"MANAV CHARITIES, No.66, Kammagondanahalli, , Jalahalli West,Bengaluru-560 015."
Manomay Charitable Trust,Children,"no 7, muneshwara nagar, ullal main road,Bengaluru, Karnataka - 560056., India"
Margadarshi,Micro Finance (SHGs),"SHIVANAND M BHASAGI, CHIEF FUNCTIONARY/GENERAL SECRETARY, MARGADARSHI, MARGADARSHI RESIDENTIAL SCHOOL FOR THE BLIND, NEAR MR. GIRISH KULKARANI HOUSE,"
Margadarshi Mahila Samaja,Micro Small & Medium Enterprises,"NO.114, 6TH CROSS, NARASIPURA LAYOUT, VIDYARANYAPURA,Bengaluru - 560 097."
Margadarshi The Association For Physically Challenged,Children,"75/6., Hulkul Complex, Lalbagh Road ,Bengaluru - 560 027"
Maya Movement For Alternatives And Youth Awareness,Health & Family Welfare,"25/1-4, 19th A Main, 9th Cross,J.P Nagar 2nd Phase -Bengaluru- 560078"
Medico Pastoral Association,Health & Family Welfare,"47, Pottery Road, Fraser Town,Bengaluru - 560 005."
Medico Pastoral Association,Health & Family Welfare,"47, Pottery Road, Fraser Town, ,Bengaluru-560005"
Megha Welfare Association,Children,97 Dr Masthi venkatesh iyengar raod gavipuram extionsion
Microfinance Innovation Trust,Micro Finance (SHGs),"No 85, Giridarshini, 1st Floor, Mount Joy Extensionk, Hanumanthnagar,Bengaluru 560019"
Mithrafoundation,Children,"Mithra Foundation, 290/7, Venketaramiah Lay out-II cross, Banaswadi,Bengaluru 560043, karnataka."
Montfort College Society,Children,"Montfort College Society, , 184, Old Madras Road, Indira Nagar,Bengaluru - 560 038"
Muniyamma Foundation,Women's Development & Empowerment,"MUNIYAMMA FOUNDATION, NO 6, 5TH MAIN, 10TH C CROSS, NAGAPURA, MAHALAKSHMIPURAM,Bengaluru 560086"
My Bhumi,Drinking Water,"25 / 25,Benaka Arcade, 1 st. Floor, 1st. Block, BEL Layout, Vidyaranyapura,Bengaluru - 560097"
Namm Halli Theater,Vocational Training,"MANJUNATH SWAMY, CITB-188, 2ND MAIN, 1ST CROSS, VINOBHA NAGAR, POLICE CHOWKI"
Natanam Charitable Trust,Vocational Training,"No 784, 9th Main Road, 3rd Block, Koramangala,Bengaluru - 560034"
Navachetana,Micro Finance (SHGs),"8-6-77,Parwathi Nivas J P Nagar, Jawada Road Bidar, 585401"
Nava Jyothi Foundation,Children,"Shree Vimaleshwar Krupa Ho. No. 1-1-16 W, Kathyayani Nagar, , Udupi -576102"
Need Trust,Children,"48, Bhoopolam, Manjunath Nagar, 15th Cross, Subabi Lane, Behind Bharat Petrol Bank, Hormova Post, Kolkere Main Road,Bengaluru"
Nethajividfyasamsthe,Rural Development & Poverty Alleviation,"Nethaji Vidya samsthe (19/1990-91), Chikkanahalli Hosabadavane , Nittuvalli, Davanagere -577004, Karnataka"
Noble Organization,Children,"25/1 9th Main, 2nd Cross, K.G. Colony, GM Palya, 5600075"
Noel Public Charitable Trust,Children,"No 37, 8th cross, 2nd A Main, Vignan Nagar, New Tippasandra P.O."
Odissi Dance Centre Trust,Children,"Nrityagram, Hessaraghatta P.O."
Om Maruthi Vidya Samste,Children,"No.948,3rd A cross,Hrbr I block,Kalyananagar,Bengaluru 43"
Outreach Association Of Volunteers For Rural Development,Children,"205,HBR Layout,1st Stage extension,2nd block,80 feet road,Bengaluru-560043"
Outreach Association Of Volunteers For Rural Development,Drinking Water,"OUTREACH Association of volunteers for Rural development, 205,HBR layout 2nd block 80 feet roadBengaluru 560043"
Padarayanapura Residents Welfare Trust,Labour & Employment,"NO.19/6, 11TH CROSS, PADARAYANAPURA,Bengaluru-560026"
Pandit Narasimhalu Vadavati Music Academy,Vocational Training,"14/1, Janakiramaiah Nilaya, , 13th Cross, 8th Main, M.T. Layout, Malleswaram, , Bengaluru 560 003"
Parihaar Foundation,Women's Development & Empowerment,"2992, 2nd Main, 17th Cross, BSK 2nd Stage,Bengaluru - 560 070"
Parihar,Children,"PARIHAR, OFFICE OF THE COMMISSIONER OF POLICE, NO 1 INFANTRY ROAD,Bengaluru 560001"
Parivarthan Counselling Training And Research Centre,Children,"3310, 1st Floor, 8th Cross, 13th Main, HAL 2nd Stage,Bengaluru 560008"
Patel Rehabilitation And Education Empowerment Trust,Children,"PATEL REHABILITATION AND EDUCATION EMPOWERMENT TRUST {PREET}(estd 2006) , \tâ€˜Bâ€™ Narayanpura, ITPL main road, Nr.K.R.Puram Rly Stn,"
Prabudha Sikshana Grameeniabhirudhi Samaste,Children,basaveshwar nagar shahapur dist gulbarga pin 585223
Prabudha Sikshna Grameenabhirudhi Samste,Children,Basaveshwar nagar old tahsil off near court shahapur dist gulbarga 585223
Pragathi Education And Development Socity,Children,"No, 28 Indira Nagara, yeluvahalli road, vijayapura town, devanahalli taluk 562135"
